,Title,Journal,Publication Date,Cited by,Abstract
1,The rodeo athlete: sport science: part I,"Sports medicine (Auckland, N.Z.)",2010 May 1,,"Based on the tradition, history and lore of the American West, as well as the individualistic nature and lifestyle of the sport of rodeo, the rodeo athlete has achieved iconic status in sport, literature, art and entertainment. For over half a century, rodeo has become a staple of organized sport programmes in high schools, universities and international competitions. The origins of rodeo grew from ranch work dating back to the Spanish vaqueros in the 1700s. The sport was officially organized in 1929 and, by the 1930s, championships were determined and the sport of rodeo surpassed baseball and auto racing in spectator attendance. Since then, sponsorship has grown, resulting in extensive worldwide popularity through major media outlets. Despite growing popularity, few investigations exist regarding the scientific aspects of the sport. Rodeo competition is an activity that is basically intermittent in nature, with short periods of highly intense activity. When considering that experience and, thus, improvement in rodeo is achieved solely through constant and punishing practices involving actual and repetitive, human versus livestock competition, the practices closely imitate a sport-specific form of interval training. Studies, which address the anthropometric and performance characteristics of rodeo competitors, reveal that they are comparable to athletes in more traditional sports. The psychological constructs conducive to performance in rodeo have been varied and limited, with most research efforts focused on personality characteristics, sensation seeking and competitive anxiety. Nevertheless, when evaluated relative to higher levels of traditional sport performance, rodeo participants closely resemble their mainstream counterparts. Although efforts to quantify this non-traditional sport are still in the initial stages, information concerning what the optimal fitness level of rodeo athletes should be for maximal performance levels, in a basically anaerobic sport, remains to be determined and is an area for future study. Rodeo performance, as with all sports, is based on a multifactorial array of variables and, therefore, interdisciplinary efforts encompassing expertise across medicine, science and coaching are encouraged. Taking a comprehensive approach in the assessment of athletes, as well as the development and quantification of event-specific training protocols, may ultimately enhance athletic potential, minimize opportunity for injury and possibly provide information to coaches and allied health professionals for the appropriate development and optimal medical care of these athletes."
2,"Utilization of personal protective equipment and associated factors among building construction workers in Addis Ababa, Ethiopia, 2019",BMC public health,2020 May 27,,"Background:                       Personal protective equipment (PPE) is a material, device, equipment, or clothing used or worn by workers to reduce their chance of exposure or contact with any harmful material or energy that causes injury, disease, or even death. The use of PPE is a universal legal requirement to reduce occupational injuries and illnesses in the workplace. Therefore, this study was conducted to assess PPE utilization and its associated factors among building construction workers in Addis Ababa, Ethiopia, 2019.                  Methods:                       Institution based quantitative cross-sectional study was conducted on the selected construction sites of Addis Ababa city from April 1 to May 18, 2019. Data were collected among all (206) building construction workers via interviewer-administered questionnaires. Data were entered into Epi info version 7.1 and exported to SPSS version 25 statistical software for analysis. Variables with a p-value of less than 0.20 in bivariate analysis were included in multivariate logistic regression. Finally, variables with a p-value of less than 0.05 in multivariate analysis were considered as significantly associated.                  Results:                       The utilization of at least one PPE among building construction workers in Addis Ababa was found to be 38%. The majority (41.1%) of the participants' reason for not using PPE were the unavailability of PPE followed by absence of orientation on using PPE (21.3%). The majority (35.3%) and (32.2%) of participants knew abrasion as a type of injury and suffered from abrasion respectively. Factors associated with utilization of PPE were the presence of training on PPE use (AOR = 4.8; 95% CI: 2.3, 10.3), presence of safety training (AOR = 2,8; 95% CI:1.5, 5.2), safety orientation before commencing work (AOR = 4.0; 95% CI:1.9, 9.0) and presence of supervision (AOR = 5.0; 95% CI:1.9,13).                  Conclusions:                       PPE utilization among building construction workers in Addis Ababa was low. The main reasons for non-utilization of PPE were unavailability of the materials and the absence of orientation on using PPE. The presence of PPE use training, presence of safety training, safety orientation, and governmental supervision were factors associated with PPE utilization. There should be continuous supervision of construction sites to assure all workers get material and training on how to use it."
3,Preventive Effects of Safety Helmets on Traumatic Brain Injury after Work-Related Falls,International journal of environmental research and public health,2016 Oct 29,,"Introduction:                       Work-related traumatic brain injury (TBI) caused by falls is a catastrophic event that leads to disabilities and high socio-medical costs. This study aimed to measure the magnitude of the preventive effect of safety helmets on clinical outcomes and to compare the effect across different heights of fall.                  Methods:                       We collected a nationwide, prospective database of work-related injury patients who visited the 10 emergency departments between July 2010 and October 2012. All of the adult patients who experienced work-related fall injuries were eligible, excluding cases with unknown safety helmet use and height of fall. Primary and secondary endpoints were intracranial injury and in-hospital mortality. We calculated adjusted odds ratios (AORs) of safety helmet use and height of fall for study outcomes, and adjusted for any potential confounders.                  Results:                       A total of 1298 patients who suffered from work-related fall injuries were enrolled. The industrial or construction area was the most common place of fall injury occurrence, and 45.0% were wearing safety helmets at the time of fall injuries. The safety helmet group was less likely to have intracranial injury comparing with the no safety helmet group (the adjusted odds ratios (ORs) (95% confidence interval (CI)): 0.42 (0.24-0.73)), however, there was no statistical difference of in-hospital mortality between two groups (the adjusted ORs (95% CI): 0.83 (0.34-2.03). In the interaction analysis, preventive effects of safety helmet on intracranial injury were significant within 4 m height of fall.                  Conclusions:                       A safety helmet is associated with prevention of intracranial injury resulting from work-related fall and the effect is preserved within 4 m height of fall. Therefore, wearing a safety helmet can be an intervention for protecting fall-related intracranial injury in the workplace."
4,The effects of sleep on workplace cognitive failure and safety,Journal of occupational health psychology,2019 Aug,,"Healthy employee sleep is important for occupational safety, but the mechanisms that explain the relationships among sleep and safety-related behaviors remain unknown. We draw from Crain, Brossoit, and Fisher's (in press) work, nonwork, and sleep (WNS) framework and Barnes' (2012) model of sleep and self-regulation in organizations to investigate the influence of construction workers' self-reported sleep quantity (i.e., duration) and quality (i.e., feeling well-rest upon awakening, ability to fall asleep and remain asleep) on workplace cognitive failures (i.e., lapses in attention, memory, and action at work) and subsequent workplace safety behaviors (i.e., safety compliance and safety participation) and reports of minor injuries. Construction workers from two public works agencies completed surveys at baseline, 6 months, and 12 months. Our results suggest that workers with more insomnia symptoms on average reported engaging in fewer required and voluntary safety behaviors and were at a greater risk for workplace injuries. These effects were mediated by workplace cognitive failures. In addition, workers with greater sleep insufficiency on average reported lower safety compliance, but this effect was not mediated by workplace cognitive failures. These results have implications for future workplace interventions, suggesting that organizations striving to improve safety should prioritize interventions that will reduce workers' insomnia symptoms and improve their ability to quickly fall asleep and stay asleep throughout the night. (PsycINFO Database Record (c) 2019 APA, all rights reserved)."
5,A review of the revised Functional Capacity Index as a predictor of 12 month outcomes following injury,Injury,2017 Mar,,"The measurement of functional outcomes following severe trauma has been widely recognised as a priority for countries with developed trauma systems. In this respect, the Functional Capacity Index (FCI), a multi-attribute index which has been incorporated into the most recent Abbreviated Injury Scale (AIS) dictionary, is potentially attractive as it offers 12-month functional outcome predictions for patients captured by existing AIS-coded datasets. This review paper outlines the development, construction and validation of the predictive form of the FCI (termed the pFCI), the modifications made which produced the currently available 'revised' pFCI, and the extent to which the revised pFCI has been validated and used. The original pFCI performed poorly in validation studies. The revised pFCI does not address many of the identified limitations of the original version, and despite the ready availability of a truncated version in the AIS dictionary, it has only been used in a handful of studies since its introduction several years ago. Additionally, there is little evidence for its validity. It is suggested that the pFCI should be better validated, whether in the narrow population group of young, healthy individuals for which it was developed, or in the wider population of severely injured patients. Methods for accounting for the presence of multiple injures (of which two have currently been used) should also be evaluated. Many factors other than anatomical injury are known to affect functional outcomes following trauma. However, it is intuitive that any model which attempts to predict the ongoing morbidity burden in a trauma population should consider the effects of the injuries sustained. Although the revised pFCI potentially offers a low-cost assessment of likely functional limitations resulting from anatomical injury, it must be more rigorously evaluated before more comprehensive predictive tools can be developed from it."
6,Trauma caused by falling objects at construction sites,The journal of trauma and acute care surgery,2012 Sep,,"Background:                       Workplace-related injuries carry a significant health care challenge. The state of Qatar is developing rapidly, with much construction and an expanding industrial work force. This study aimed to assess the incidence and social impact of work-related injuries requiring hospitalization caused by falling objects at the construction sites.                  Methods:                       We performed a prospective study for all admissions, which resulted from falling objects between January 2008 and June 2010 at the only trauma center in the state of Qatar. Data were analyzed, and outcomes were described (mortality, length of hospital stay, and safety measures).                  Results:                       Of the total injured patients (N = 4,302) admitted between January 2008 and June 2010, 185 (4%) had injuries caused purely by falling objects. Patients' mean age was 29 years, and 97% of the patients were men. All injuries occurred at construction sites. Most patients (86%) were brought by ambulance, and the reminder was brought by private vehicles. After initial evaluation and resuscitation, 120 patients (65%) were found to have a single-system injury, and 65 (35%) had multisystem injury. Operative interventions were required in 50% of the patients. Mean length of hospital stay varied from 6.5 days for single-system injuries to 19 days for multisystem injuries. Safety devices were used in 32 patients (17.3%). All of the 16 mortality cases (8.6%) were reported in multiple injuries.                  Conclusion:                       Traumatic injury caused by falling object represents a significant problem in a rapidly developing country. Many of these injuries could be prevented by following established safety guidelines.                  Level of evidence:                       Epidemiologic study, level III."
7,Comprehensive movement system screening tool (MSST) for athletes: Development and measurement properties,Brazilian journal of physical therapy,2020 Nov-Dec,,"Objectives:                       Non-traumatic extremity injuries are particularly common in sports, representing a significant economic, academic, and psychosocial burden on athletes. Proposed musculoskeletal risk factors for increased injury and decreased performance in athletes include movement pattern inefficiency, decreased regional stability, decreased mobility, and asymmetrical movement. The Movement System Screening Tool (MSST) is a comprehensive screening tool designed to assess these factors. Thus, the purpose of this study was to describe the development and determine the content and construct validity and inter-rater reliability of the MSST.                  Methods:                       A modified Delphi panel of experts determined content validity. 80 athletes (40 with and 40 without a current non-traumatic shoulder injury) completed 21 clinical tests, with exploratory factor analysis and known group analysis performed to determine construct validity. Two independent raters were used to establish individual item and composite score inter-rater reliability.                  Results:                       Exploratory factor analysis identified three of the four apriori constructs over 7 factors (14 tests), representing 63% of the variance. Known group analysis revealed a significantly lower composite score in athletes with vs. without a current non-traumatic shoulder injury (56.9±5.8 vs. 62.7±4.5, respectively). A preliminary cut score of 62 was chosen with sensitivity of 85% and specificity of 44%. Composite score inter-rater reliability was excellent ICC (2,1)=0.94, 95% CI (0.91, 0.96) and item reliability ranged from κ=.57 to 1.00.                  Conclusions:                       The MSST possesses constructs representative of injury risk and measurement properties acceptable for use in clinical settings. Comprehensive screens with construct validity and known measurement error are needed not only to identify athletes at risk of injury, but also provide an instrument that can be used in studies that seek to validate training approaches proposed to change movement impairment and injury risk in athletes."
8,Routine systemic antibiotic prophylaxis for burn injuries in developing countries: A best evidence topic (BET),"International journal of surgery (London, England)",2015 Sep,,"Background:                       Burns are common in low- and middle-income countries (LMICs) and complicated by unhygienic conditions, malnutrition, use of high-risk homemade dressings and delayed presentation. Resultantly, use of routine systemic antibiotic prophylaxis (SAP) to prevent wound infection is common practice despite this intervention being abandoned in high-income countries due to increased antimicrobial resistance and non-bacterial suprainfection.                  Methods:                       A best evidence topic (BET) was constructed using a structured protocol. The question addressed was: In LMICs, does routine use of SAP reduce burn wound infection, morbidity or mortality?                  Results:                       From 704 retrieved records, 48 reports met criteria to be examined. Of those, 3 studies represented the best available evidence. Together, two randomized clinical trials (RCTs) and a retrospective cohort study reported no difference in the proportion of wound infection, any infection or length of hospital stay between SAP groups and controls. One RCT described a greater proportion of wounds infected with P. aeruginosa among SAP arms compared to controls. The studies had few participants and significant methodological weaknesses.                  Conclusion:                       On the basis of limited, currently available evidence, the use of SAP cannot be recommended for patients in LMICs that present soon after burn injury."
9,"Construction accidents: identification of the main associations between causes, mechanisms and stages of the construction process",International journal of occupational safety and ergonomics : JOSE,2017 Jun,,Objective:                       To identify the most frequent causes of accidents in the construction sector in order to help safety practitioners in the task of prioritizing preventive actions depending on the stage of construction.                  Methods:                       Official accident investigation reports are analysed. A causation pattern is identified with the proportion of causes in each of the different possible groups of causes.                  Results:                       Significant associations of the types of causes with accident mechanisms and construction stages have been identified.                  Conclusions:                       Significant differences have been found in accident causation depending on the mechanism of the accident and the construction stage ongoing. These results should be used to prioritize preventive actions to combat the most likely causes for each accident mechanism and construction stage.
10,Cause and incidence of injuries experienced by children in remote Cape York Indigenous communities,Australian journal of primary health,2019 Apr,,"Indigenous children experience a disproportionally high number of injuries, particularly in remote communities. This study aimed to investigate: (1) the causes of injury to children within three remote Indigenous communities of Cape York, Australia; (2) differences between communities; and (3) if strengthening of alcohol restrictions reduced the incidence of injury. An injury profile for children aged 0-14 years was constructed for the period 1 January 2006 to 31 December 2011 using clinical file audit data from Primary Health Care Clinics located in each community. Children aged <14 years were responsible for 1461 injury presentations among 563 individuals. Males were responsible for 58.7% of presentations and 38% (n = 214) of children presented on three or more occasions. The leading causes of injury were falls (including sports); cutting and piercing; animals, insects and plants; transport and assault. There were variations in the order of major injury causes across the three communities. As primary causes of injury, falls and transport-related injuries aligned with other child populations. Cutting and piercing; animals, insects and plants; and assault-related injuries were more prevalent compared with other child populations. There was a significant difference in injury rates between communities and no significant difference before and after the strengthening of alcohol restrictions."
