,Title,Journal,Abstract
1,Effect of STOP technique on safety climate in a construction company,Journal of research in health sciences,"Background:                       Safety programs are a core part of safety management in workplaces that can reduce incidents and injuries. The aim of this study was to investigate the influence of Safety Training Observation Program (STOP) technique as a behavior modification program on safety climate in a construction company.                  Methods:                       This cross-sectional study was carried out on workers of the Petrochemical Construction Company, western Iran. In order to improve safety climate, an unsafe behavior modification program entitled STOP was launched among workers of project during 12 months from April 2013 and April 2014. The STOP technique effectiveness in creating a positive safety climate was evaluated using the Safety Climate Assessment Toolkit.                  Results:                       76.78% of total behaviors were unsafe. 54.76% of total unsafe acts/ at-risk behaviors were related to the fall hazard. The most cause of unsafe behaviors was associated with habit and unavailability of safety equipment. After 12 month of continuous implementation the STOP technique, 55.8% of unsafe behaviors reduced among workers. The average score of safety climate evaluated using of the Toolkit, before and after the implementation of the STOP technique was 5.77 and 7.24, respectively.                  Conclusions:                       The STOP technique can be considered as effective approach for eliminating at-risk behavior, reinforcing safe work practices, and creating a positive safety climate in order to reduction incidents/injuries."
2,Safety and ergonomic considerations for an aging workforce in the US construction industry,"Work (Reading, Mass.)","The US construction workforce is aging as millions of baby boomers move toward retirement age. Older workers make a substantial contribution to construction in terms of skills and experience. However, construction is still one of the most physically demanding occupations, hence the health implications for older workers. Descriptions of injuries, illnesses and fatalities among older workers in the US construction industry from recent literature are presented along with the practical health and safety interventions that have been proposed including: ergonomic interventions, wellness programs, worksite housekeeping, training, and safety climate. Understanding the risks and hazards in specific industries could help identify training and intervention requirements to meet the challenges facing aging workers in these occupational groups."
3,A multi-agent safety response model in the construction industry,"Work (Reading, Mass.)","Background:                       The construction industry is one of the sectors with the highest accident rates and the most serious accidents. A multi-agent safety response approach allows a useful diagnostic tool in order to understand factors affecting risk and accidents. The special features of the construction sector can influence the relationships among safety responses along the model of safety influences.                  Objective:                       The purpose of this paper is to test a model explaining risk and work-related accidents in the construction industry as a result of the safety responses of the organization, the supervisors, the co-workers and the worker.                  Sample:                       374 construction employees belonging to 64 small Spanish construction companies working for two main companies participated in the study.                  Instruments:                       Safety responses were measured using a 45-item Likert-type questionnaire.                  Methodology:                       The structure of the measure was analyzed using factor analysis and the model of effects was tested using a structural equation model.                  Results:                       Factor analysis clearly identifies the multi-agent safety dimensions hypothesized. The proposed safety response model of work-related accidents, involving construction specific results, showed a good fit.                  Conclusions:                       The multi-agent safety response approach to safety climate is a useful framework for the assessment of organizational and behavioral risks in construction."
4,Engaging Occupational Safety and Health Professionals in Bridging Research and Practice: Evaluation of a Participatory Workshop Program in the Danish Construction Industry,International journal of environmental research and public health,"Engaging occupational safety and health (OSH) professionals has scarcely been evaluated as a means for transferring knowledge to practice about physical workload in the construction industry. The aim of this work was to examine how participants used and incorporate research-based knowledge from a three-day training course into practice. Twenty OSH professionals from the Danish construction industry participated in a workshop-training course. Researchers presented new knowledge and results about physically demanding work. The participants selected which themes they wanted to work with and developed an action plan. Evaluation was done using surveys and phone interviews. Analysis was based on how the OSH-professionals describe themselves, organizations, and the construction industry. Participant's average scores on the level of implementation of their chosen action plans were 3 (on a response scale from 1-5, where 1 is 'to a very low degree' and 5 is 'to a very high degree') immediately after the workshop program and 2.5 at follow-up. Qualitative evaluations showed that actions had been initiated, and some progress had been made. The participants were satisfied with the workshop course and the possibility to increase their knowledge through inputs from researchers and colleges and strongly believe that they would succeed with implementing their action plans in the future."
5,"Prevalence, source and severity of work-related injuries among ""foreign"" construction workers in a large Malaysian organisation: a cross-sectional study",Industrial health,"Malaysian construction sector is regarded as critical in the field of health because of the high rates of accidents and fatalities. This research aimed to determine the prevalence, sources and severity of injuries and its association with commitment to safety among foreign construction workers. A cross-sectional study was conducted among 323 foreign construction workers from six construction projects of a large organization in Malaysia, using a simple random sampling method. Data was collected using a structured questionnaire to assess work-related injuries and safety commitment. The collected data was analysed by SPSS 22.0 using descriptive statistics and χ2 test. The prevalence of work-related injuries in a one year period was 22.6%, where most of the injuries were of moderate severity (39.7%) and falls from heights represented the main source (31.5%). The majority of the foreign construction workers had perceived between moderate and high safety commitment, which was significantly associated with work-related injuries. The results also showed a significant association of work-related injuries with the company's interest in Safety and Health, Safety and Health training, and safety equipment. Thus, the implementation of new procedures and providing relevant trainings and safety equipment; will lead to a decrease in injury rates in construction sites."
6,Organizational culture and a safety-conscious work environment: The mediating role of employee communication satisfaction,Journal of safety research,"Introduction:                       A safety-conscious work environment allows high-reliability organizations to be proactive regarding safety and enables employees to feel free to report any concern without fear of retaliation. Currently, research on the antecedents to safety-conscious work environments is scarce.                  Method:                       Structural equation modeling was applied to test the mediating role of employee communication satisfaction in the relationship between constructive culture and a safety-conscious work environment in several nuclear power plants.                  Results:                       Employee communication satisfaction partially mediated the positive relationships between a constructive culture and a safety-conscious work environment.                  Conclusions:                       Constructive cultures in which cooperation, supportive relationships, individual growth and high performance are encouraged facilitate the establishment of a safety-conscious work environment. This influence is partially explained by increased employee communication satisfaction.                  Practical application:                       Constructive cultures should be encouraged within organizations. In addition, managers should promote communication policies and practices that support a safety-conscious work environment."
7,Individual safety performance in the construction industry: development and validation of two short scales,Accident; analysis and prevention,"In the current research a short measure of safety performance is developed for use in the construction industry and the relationships between different components of safety performance and safety outcomes (e.g., occupational injuries and work-related pain) are explored within the construction context. This research consists of two field studies. In the first, comprehensive measures of safety compliance and safety participation were shortened and modified to be appropriate for use in construction. Evidence of reliability and validity is provided. Both safety compliance and safety participation were negatively related to occupational injuries, yet these two correlations were not statistically different. In the second study, we investigated the relationships between these two components of safety performance and work-related pain frequency, in addition to replicating Study 1. Safety compliance had a stronger negative relationship with pain than safety participation. Implications for research are discussed."
8,"Long workhours, work scheduling and work-related injuries among construction workers in the United States","Scandinavian journal of work, environment & health","Objectives:                       The objectives of this study were (i) to examine work scheduling in construction and (ii) to establish whether there is any connection between workhours and safety outcomes among construction workers.                  Methods:                       The National Longitudinal Survey of Youth, 1979 cohort (NLSY79), was used for the data analysis. Odds ratios were used to measure the risk of work-related injury in different worker groups.                  Results:                       The findings showed that (i) construction workers started work earlier, worked longer days and fewer weeks a year, and were more likely to hold multiple jobs and change jobs than their nonconstruction counterparts and (ii) long workhours and irregular work schedules were significantly associated with a higher work-related injury rate after control for possible confounders.                  Conclusion:                       The results provide evidence that overtime and irregular work scheduling have an adverse effect on worker safety."
9,"The safety climate and its relationship to safety practices, safety of the work environment and occupational accidents in eight wood-processing companies",Accident; analysis and prevention,"Employees continuously observe their work environment and the actions of their fellow workers and superiors, and they use such observations as a basis for the creation of cognitive models associated with safety. These models regulate their actions in the workplace and thus have an influence on safety. This study attempts to define the structure of the safety climate as perceived by workers and the correlations between the safety climate, on the one hand, and the safety practices of the company, the safety level of the work environment and occupational accidents on the other. The variables used in this study were the same as those employed in two previous Finnish safety climate studies carried out in the plywood industry, shipyards, the forestry industry, building construction and stevedoring. The safety climate was measured by means of a questionnaire. Workers from four sawmills, two plywood factories and two parquet plants participated. The total number of participants was 508 in 1990 and 548 in 1993. The variables formed four factors, whose contents and reliabilities closely resembled the results obtained in the earlier studies. These results indicate that the structure of the safety climate among Finnish workers is quite stable. The safety climate correlated both with the safety level of the work environment and with the safety practices of the company, but the correlation between the safety climate and the safety of the work environment was stronger. This result differs from those of the previous studies, in which the safety climate was defined specifically in terms of an individual's perceptions of the safety practices of the company and of the behavior of other employees. The two safety climate factors that described a company's attitudes to safety and its safety precautions correlated with the accident rates. The better the safety climate of the company was, the lower was the accident rate. Four companies with an accident rate below the average for the wood-processing industry had a better safety climate than four similar companies with an accident rate above the average."
10,Modeling the Relationship between Safety Climate and Safety Performance in a Developing Construction Industry: A Cross-Cultural Validation Study,International journal of environmental research and public health,"This study attempts to validate a safety performance (SP) measurement model in the cross-cultural setting of a developing country. In addition, it highlights the variations in investigating the relationship between safety climate (SC) factors and SP indicators. The data were collected from forty under-construction multi-storey building projects in Pakistan. Based on the results of exploratory factor analysis, a SP measurement model was hypothesized. It was tested and validated by conducting confirmatory factor analysis on calibration and validation sub-samples respectively. The study confirmed the significant positive impact of SC on safety compliance and safety participation, and negative impact on number of self-reported accidents/injuries. However, number of near-misses could not be retained in the final SP model because it attained a lower standardized path coefficient value. Moreover, instead of safety participation, safety compliance established a stronger impact on SP. The study uncovered safety enforcement and promotion as a novel SC factor, whereas safety rules and work practices was identified as the most neglected factor. The study contributed to the body of knowledge by unveiling the deviations in existing dimensions of SC and SP. The refined model is expected to concisely measure the SP in the Pakistani construction industry, however, caution must be exercised while generalizing the study results to other developing countries."
