,rec_id,title_word,stem,lem,POS
0,1,clm,clm,clm,NN
1,1,construction,construct,construction,NN
2,1,risk,risk,risk,NN
3,1,management,manag,management,NN
4,1,conference,confer,conference,NN
5,1,highlights,highlight,highlight,NNS
6,1,dont,dont,dont,VBP
7,1,want,want,want,JJ
8,1,missworkers,misswork,missworkers,NNS
9,1,comp,comp,comp,VBP
10,1,forum,forum,forum,NN
11,2,ministry,ministri,ministry,NN
12,2,boosts,boost,boost,NNS
13,2,building,build,building,NN
14,2,inspections,inspect,inspection,NNS
15,2,improve,improv,improve,VBP
16,2,safetykhmer,safetykhm,safetykhmer,NN
17,2,times,time,time,NNS
18,3,erie,eri,erie,NN
19,3,giant,giant,giant,NN
20,3,slides,slide,slide,NNS
21,3,frontier,frontier,frontier,RBR
22,3,park,park,park,NN
23,3,rides,ride,ride,VBZ
24,3,passes,pass,pass,NNS
25,3,safety,safeti,safety,NN
26,3,test,test,test,NN
27,3,reopengoerie.com,reopengoerie.com,reopengoerie.com,NN
28,4,mbta,mbta,mbta,NN
29,4,launches,launch,launch,VBZ
30,4,new,new,new,JJ
31,4,office,offic,office,NN
32,4,address,address,address,NN
33,4,safety,safeti,safety,NN
34,4,directives,direct,directive,VBZ
35,4,federal,feder,federal,JJ
36,4,administrationmass,administrationmass,administrationmass,NN
37,4,transit,transit,transit,NN
38,4,magazine,magazin,magazine,NN
39,5,birmingham,birmingham,birmingham,NN
40,5,bessemer,bessem,bessemer,NN
41,5,housing,hous,housing,NN
42,5,authorities,author,authority,NNS
43,5,get,get,get,VBP
45,5,million,million,million,CD
46,5,youth,youth,youth,NN
47,5,workforce,workforc,workforce,NN
48,5,developmentwbrc,developmentwbrc,developmentwbrc,NN
49,6,new,new,new,JJ
50,6,regional,region,regional,JJ
51,6,production,product,production,NN
52,6,director,director,director,NN
53,6,appointed,appoint,appointed,VBD
54,6,persimmon,persimmon,persimmon,JJ
55,6,homes,home,home,NNS
56,6,wales,wale,wale,NNS
57,6,south,south,south,RB
58,6,westbusiness,westbusi,westbusiness,JJ
59,6,innovation,innov,innovation,NN
60,6,magazine,magazin,magazine,NN
61,7,antares,antar,antares,NNS
62,7,seven-step,seven-step,seven-step,JJ
63,7,process,process,process,NN
64,7,powering,power,powering,VBG
