,source,published,title,abstract,type,scrapper,label,query_date,query_pattern
0,Workers Comp Forum,"Thu, 01 Sep 2022 07:00:00 GMT",CLM Construction Risk Management Conference Highlights You Don't Want to Miss - Workers Comp Forum,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
1,Khmer Times,"Fri, 09 Sep 2022 07:00:00 GMT",Ministry boosts building inspections to improve safety - Khmer Times,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
2,GoErie.com,"Tue, 06 Sep 2022 07:00:00 GMT","Erie giant slides: Frontier Park rides passes safety test, reopen - GoErie.com",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
3,Mass Transit Magazine,"Thu, 01 Sep 2022 07:00:00 GMT",MBTA launches new office to address safety directives from the Federal Transit Administration - Mass Transit Magazine,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
4,WBRC,"Tue, 27 Sep 2022 01:52:00 GMT",Birmingham and Bessemer housing authorities get $1.5 million each for youth workforce development - WBRC,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
5,Business & Innovation Magazine,"Sun, 25 Sep 2022 23:11:36 GMT",New regional production director appointed by Persimmon Homes in Wales and South West - Business & Innovation Magazine,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
6,Livewire Markets,"Sun, 25 Sep 2022 20:30:13 GMT",Antares' seven-step process powering Dividend Builder - Andrew Hamilton | Livewire - Livewire Markets,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
7,The Elm,"Wed, 14 Sep 2022 07:00:00 GMT",The Elm | Jarrell Emphasizes Leadership Development at Q&A Event - The Elm,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
8,StockNews.com,"Mon, 26 Sep 2022 20:42:05 GMT",DOW: 2 Chemical Stocks to Buy This Fall and 1 to Avoid - StockNews.com,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
9,GIM International,"Thu, 15 Sep 2022 06:54:00 GMT",UAV Surveys Help Port of Rotterdam to Expand - GIM International,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
