,0
0,further
1,too
2,ma
3,mustn't
4,ll
5,needn't
6,it's
7,down
8,hasn't
9,needn
10,against
11,you've
12,yours
13,it
14,conclusions:
15,being
16,which
17,will
18,should've
19,br
20,you'll
21,weren't
22,introduction:
23,mustn
24,we
25,why
26,each
27,hadn
28,him
29,over
30,don
31,because
32,than
33,before
34,shouldn't
35,i
36,are
37,very
38,those
39,with
40,between
41,these
42,is
43,here
44,hasn
45,shouldn
46,am
47,not
48,you
49,my
50,some
51,wasn't
52,having
53,once
54,up
55,couldn't
56,didn
57,didn't
58,your
59,o
60,where
61,doesn
62,to
63,them
64,does
65,such
66,you'd
67,after
68,methods:
69,myself
70,under
71,but
72,m
73,hadn't
74,haven't
75,weren
76,ain
77,you're
78,there
79,won
80,own
81,now
82,aren
83,he
84,who
85,few
86,couldn
87,in
88,just
89,our
90,nor
91,yourselves
92,or
93,other
94,href
95,no
96,were
97,do
98,did
99,above
100,mightn
101,won't
102,what
103,only
104,purpose:
105,shan
106,had
107,by
108,below
109,any
110,whom
111,d
112,the
113,how
114,more
115,for
116,off
117,me
118,have
119,so
120,s
121,re
122,don't
123,doesn't
124,at
125,wasn
126,out
127,both
128,results:
129,if
130,its
131,isn't
132,herself
133,as
134,while
135,should
136,that
137,about
138,then
139,themselves
140,she
141,her
142,isn
143,of
144,again
145,wouldn't
146,shan't
147,until
148,when
149,an
150,on
151,mightn't
152,background:
153,haven
154,yourself
155,was
156,t
157,they
158,ve
159,aren't
160,all
161,that'll
162,hers
163,during
164,wouldn
165,into
166,been
167,doing
168,theirs
169,y
170,most
171,ourselves
172,same
173,has
174,objective:
175,his
176,their
177,from
178,itself
179,ours
180,and
181,through
182,himself
183,be
184,can
185,a
186,this
187,she's
